ParticipantID,Health_Status,SPEAKER_ID,Long_term_attractiveness,Short_term_attractiveness
121,0,13,5,9
121,0,14,6,8
121,0,15,3,3
121,0,16,7,8
121,0,17,3,3
121,0,18,3,5
121,0,19,6,6
121,0,20,2,6
80,1,1,2,8
80,1,2,1,2
80,1,3,6,4
80,1,4,4,6
80,1,5,5,7
80,1,6,6,5
80,1,7,3,6
80,1,8,8,4
80,1,9,7,8
80,1,10,3,6
80,0,11,3,3
80,0,12,2,2
80,0,13,6,8
80,0,14,8,3
80,0,15,2,7
80,0,16,8,7
80,0,17,3,6
80,0,18,3,7
80,0,19,6,6
80,0,20,3,5
37,1,1,7,5
37,1,2,2,1
37,1,3,4,7
37,1,4,4,3
37,1,5,3,3
37,1,6,5,3
37,1,7,3,1
37,1,8,5,5
37,1,9,4,5
37,1,10,4,1
37,0,11,5,5
37,0,12,5,5
37,0,13,2,6
37,0,14,2,1
37,0,15,2,3
37,0,16,7,3
37,0,17,3,3
37,0,18,5,6
37,0,19,6,4
37,0,20,2,2
92,1,1,2,2
92,1,2,7,9
92,1,3,8,9
92,1,4,9,8
92,1,5,9,9
92,1,6,9,2
92,1,7,2,2
92,1,8,3,1
92,1,9,7,4
92,1,10,7,6
92,0,11,8,9
92,0,12,1,1
92,0,13,9,9
92,0,14,7,9
92,0,15,1,2
92,0,16,7,6
92,0,17,6,3
92,0,18,7,4
92,0,19,5,2
92,0,20,3,4
24,1,1,3,2
24,1,2,1,2
24,1,3,4,4
24,1,4,5,9
24,1,5,6,7
24,1,6,6,8
24,1,7,3,4
24,1,8,9,6
24,1,9,7,8
24,1,10,9,9
24,0,11,6,7
24,0,12,2,1
24,0,13,7,5
24,0,14,3,3
24,0,15,3,1
24,0,16,4,4
24,0,17,4,5
24,0,18,6,6
24,0,19,6,4
24,0,20,5,7
47,1,1,6,3
47,1,2,6,8
47,1,3,6,6
47,1,4,7,7
47,1,5,3,7
47,1,6,5,7
47,1,7,4,3
47,1,8,6,3
47,1,9,4,3
47,1,10,4,3
47,0,11,4,6
47,0,12,3,3
47,0,13,3,6
47,0,14,6,7
47,0,15,3,3
47,0,16,4,6
47,0,17,2,6
47,0,18,5,7
47,0,19,2,2
47,0,20,7,5
129,1,1,7,3
129,1,2,7,4
129,1,3,3,5
129,1,4,7,3
129,1,5,3,5
129,1,6,6,3
129,1,7,2,4
129,1,8,3,3
129,1,9,2,3
129,1,10,3,2
129,0,11,8,3
129,0,12,3,3
129,0,13,3,2
129,0,14,3,3
129,0,15,1,5
129,0,16,7,5
129,0,17,2,3
129,0,18,3,2
129,0,19,3,4
129,0,20,7,7
123,1,1,1,2
123,1,2,5,5
123,1,3,2,4
123,1,4,7,5
123,1,5,6,8
123,1,6,7,2
123,1,7,3,2
123,1,8,6,3
123,1,9,7,7
123,1,10,1,2
123,0,11,2,8
123,0,12,1,1
123,0,13,7,8
123,0,14,3,2
123,0,15,1,1
123,0,16,3,2
123,0,17,3,3
123,0,18,3,1
123,0,19,6,3
123,0,20,5,5
30,1,1,6,4
30,1,2,3,3
30,1,3,5,4
30,1,4,4,6
30,1,5,5,7
30,1,6,6,8
30,1,7,4,4
30,1,8,6,6
30,1,9,7,6
30,1,10,4,4
30,0,11,6,3
30,0,12,5,3
30,0,13,4,3
30,0,14,6,5
30,0,15,4,5
30,0,16,4,4
30,0,17,7,4
30,0,18,5,5
30,0,19,7,5
30,0,20,4,6
58,1,1,4,4
58,1,2,6,5
58,1,3,5,5
58,1,4,5,6
58,1,5,5,7
58,1,6,6,4
58,1,7,3,6
58,1,8,3,5
58,1,9,4,6
58,1,10,5,7
58,0,11,3,7
58,0,12,5,3
58,0,13,4,3
58,0,14,7,5
58,0,15,3,3
58,0,16,5,6
58,0,17,5,2
58,0,18,3,4
58,0,19,3,5
58,0,20,5,6
112,1,1,5,3
112,1,2,5,5
112,1,3,5,4
112,1,4,5,4
112,1,5,4,4
112,1,6,5,5
112,1,7,6,6
112,1,8,4,6
112,1,9,4,4
112,1,10,5,5
112,0,11,3,3
112,0,12,3,3
112,0,13,4,4
112,0,14,5,4
112,0,15,2,3
112,0,16,3,5
112,0,17,3,2
112,0,18,4,4
112,0,19,4,3
112,0,20,4,5
103,1,1,4,6
103,1,2,6,6
103,1,3,4,4
103,1,4,6,6
103,1,5,5,5
103,1,6,4,4
103,1,7,3,5
103,1,8,6,6
103,1,9,4,6
103,1,10,5,6
103,0,11,3,5
103,0,12,3,3
103,0,13,5,3
103,0,14,4,4
103,0,15,3,6
103,0,16,5,5
103,0,17,4,5
103,0,18,4,4
103,0,19,3,3
103,0,20,3,5
102,1,1,5,7
102,1,2,5,5
102,1,3,5,6
102,1,4,5,6
102,1,5,6,7
102,1,6,4,6
102,1,7,7,7
102,1,8,7,6
102,1,9,7,7
102,1,10,5,6
102,0,11,5,6
102,0,12,3,5
102,0,13,5,5
102,0,14,6,7
102,0,15,4,5
102,0,16,5,6
102,0,17,5,5
102,0,18,4,6
102,0,19,5,5
102,0,20,5,7
21,1,1,4,5
21,1,2,5,3
21,1,3,6,6
21,1,4,6,8
21,1,5,6,6
21,1,6,8,8
21,1,7,4,4
21,1,8,8,7
21,1,9,4,5
21,1,10,5,3
21,0,11,6,2
21,0,12,3,2
21,0,13,5,5
21,0,14,7,7
21,0,15,3,7
21,0,16,5,7
21,0,17,3,8
21,0,18,4,6
21,0,19,6,5
21,0,20,3,6
86,1,1,2,6
86,1,2,3,3
86,1,3,6,3
86,1,4,6,6
86,1,5,6,3
86,1,6,5,3
86,1,7,4,4
86,1,8,6,6
86,1,9,4,7
86,1,10,6,6
86,0,11,5,6
86,0,12,6,6
86,0,13,3,6
86,0,14,4,5
86,0,15,5,4
86,0,16,6,4
86,0,17,2,3
86,0,18,6,6
86,0,19,7,5
86,0,20,6,5
36,1,1,6,5
36,1,2,6,5
36,1,3,7,5
36,1,4,4,5
36,1,5,5,3
36,1,6,5,5
36,1,7,6,6
36,1,8,6,4
36,1,9,6,6
36,1,10,6,6
36,0,11,5,7
36,0,12,6,5
36,0,13,5,6
36,0,14,2,3
36,0,15,1,1
36,0,16,3,4
36,0,17,8,3
36,0,18,5,7
36,0,19,5,5
36,0,20,6,5
53,1,1,4,4
53,1,2,3,3
53,1,3,4,5
53,1,4,4,6
53,1,5,6,4
53,1,6,5,3
53,1,7,3,3
53,1,8,7,6
53,1,9,7,7
53,1,10,5,5
53,0,11,4,5
53,0,12,3,4
53,0,13,4,4
53,0,14,4,4
53,0,15,3,4
53,0,16,3,6
53,0,17,3,6
53,0,18,6,5
53,0,19,7,5
53,0,20,5,5
90,1,1,1,3
90,1,2,1,1
90,1,3,2,3
90,1,4,3,3
90,1,5,8,8
90,1,6,6,6
90,1,7,4,4
90,1,8,7,7
90,1,9,9,7
90,1,10,7,6
90,0,11,3,4
90,0,12,5,6
90,0,13,3,6
90,0,14,4,7
90,0,15,3,1
90,0,16,6,6
90,0,17,4,6
90,0,18,3,7
90,0,19,8,1
90,0,20,5,6
114,1,1,6,5
114,1,2,5,5
114,1,3,5,5
114,1,4,5,5
114,1,5,5,5
114,1,6,6,5
114,1,7,5,5
114,1,8,6,5
114,1,9,5,5
114,1,10,5,5
114,0,11,5,5
114,0,12,6,5
114,0,13,5,5
114,0,14,5,5
114,0,15,5,5
114,0,16,6,5
114,0,17,6,5
114,0,18,5,5
114,0,19,5,5
114,0,20,6,5
4,1,1,4,4
4,1,2,5,5
4,1,3,5,6
4,1,4,6,6
4,1,5,5,6
4,1,6,3,3
4,1,7,6,6
4,1,8,6,6
4,1,9,5,6
4,1,10,5,6
4,0,11,5,6
4,0,12,5,4
4,0,13,6,4
4,0,14,5,6
4,0,15,4,5
4,0,16,4,5
4,0,17,5,5
4,0,18,3,5
4,0,19,5,6
4,0,20,6,5
